"gene_id","L22.1","L22.2","L22.3","R22.1","R22.2","R22.3","L27.1","L27.2","L27.3","R27.1","R27.2","R27.3","L32.1","L32.2","L32.3","R32.1","R32.2","R32.3"
"2607587227",17,5,0,18,18,20,0,4,0,35,14,14,17,23,13,20,20,21
"2607587228",65,31,2,28,31,25,6,4,0,30,38,27,27,19,17,7,21,26
"2607587229",1067,468,193,373,512,561,160,96,30,783,620,676,600,566,425,578,646,618
"2607587230",90,28,4,18,42,58,0,6,0,75,44,59,83,49,48,31,61,26
"2607587234",300,125,16,141,180,185,21,10,4,427,253,269,356,308,221,250,271,247
"2607587235",611,278,108,374,431,517,124,62,24,883,658,644,814,650,393,561,597,463
"2607587237",51,30,6,25,46,52,15,3,7,102,61,98,118,101,58,41,37,41
"2607587238",5,0,0,5,3,6,2,0,4,14,11,5,12,9,7,20,16,7
"2607587239",40,16,4,13,2,18,2,12,1,54,23,26,27,24,12,20,25,10
"2607587240",314,151,24,124,132,198,34,19,0,298,259,292,426,280,178,220,263,160
"2607587241",380,141,52,163,217,194,51,20,6,337,290,295,465,384,290,232,312,287
"2607587242",537,239,80,191,223,302,57,44,4,559,394,415,673,681,435,458,473,389
"2607587243",103,47,23,49,63,77,13,9,6,107,102,91,104,103,75,46,78,61
"2607587244",32,8,10,9,12,22,1,2,0,41,28,31,51,35,16,18,30,23
"2607587245",22,18,11,10,22,13,2,0,0,30,11,6,15,2,18,10,5,23
"2607587246",396,229,95,260,294,316,164,83,35,562,352,390,675,498,391,332,357,352
"2607587247",1449,572,169,619,767,893,180,93,14,1726,1266,1283,1729,1485,996,976,1029,929
"2607587251",3021,1265,485,1757,2112,2460,639,353,70,3276,2249,2321,2696,2605,1880,2310,2782,2860
"2607587253",119,31,10,66,49,113,10,3,0,198,107,71,104,56,32,60,109,59
