"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034645","GO:0034645","cellular macromolecule biosynthetic process","34/271","111/1630",0.000107545937366065,0.00352946212628632,0.00318006647331236,"2607585273/2607585995/2607587425/2607587426/2607588575/K00700/K01776/K01881/K01885/K01892/K01921/K02316/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03431/K03547/K03596/K04567/K08106/K09667",34
"GO:0044260","GO:0044260","cellular macromolecule metabolic process","53/271","201/1630",0.000118454795433708,0.00356351509596406,0.00321074840254525,"2607585186/2607585273/2607585995/2607587086/2607587313/2607587425/2607587426/2607588300/2607588575/2607588576/2607589500/K00700/K00962/K01147/K01776/K01881/K01885/K01892/K01921/K02316/K02357/K02469/K02470/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03100/K03218/K03431/K03495/K03524/K03547/K03596/K03605/K03655/K04567/K04655/K07056/K08106/K09667/K11356",53
"GO:0044238","GO:0044238","primary metabolic process","97/271","437/1630",0.000228119366972105,0.0060525996211591,0.00545342843836759,"2607585127/2607585156/2607585186/2607585273/2607585597/2607585983/2607585995/2607587034/2607587038/2607587086/2607587313/2607587425/2607587426/2607587719/2607588155/2607588300/2607588569/2607588575/2607588576/2607588597/2607588784/2607588937/2607589500/K00003/K00036/K00162/K00281/K00284/K00286/K00602/K00611/K00645/K00655/K00700/K00764/K00801/K00851/K00859/K00962/K01092/K01147/K01191/K01591/K01649/K01693/K01733/K01755/K01814/K01866/K01881/K01885/K01892/K02291/K02294/K02316/K02357/K02469/K02470/K02519/K02637/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03100/K03218/K03431/K03495/K03524/K03544/K03547/K03596/K03605/K03655/K03787/K03798/K04567/K04652/K04655/K05356/K06133/K06203/K07056/K08106/K09667/K11356/K13038",97
"GO:0010467","GO:0010467","gene expression","34/271","115/1630",0.000234726855114204,0.0060525996211591,0.00545342843836759,"2607585127/2607587034/2607587038/2607587086/2607588784/2607588937/K01147/K01881/K01885/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03100/K03495/K03596/K03605/K04567/K04652/K04655/K07056",34
"GO:0009059","GO:0009059","macromolecule biosynthetic process","34/271","117/1630",0.000339147823514942,0.00816215761925961,0.0073541528046398,"2607585273/2607585995/2607587425/2607587426/2607588575/K00700/K01776/K01881/K01885/K01892/K01921/K02316/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03431/K03547/K03596/K04567/K08106/K09667",34
"GO:1901564","GO:1901564","organonitrogen compound metabolic process","73/271","316/1630",0.000554645491834835,0.0125141889095235,0.0112753590116424,"2607585186/2607585338/2607585342/2607585344/2607585353/2607587086/2607587425/2607587426/2607587719/2607588576/2607588937/K00003/K00162/K00281/K00284/K00286/K00602/K00611/K00764/K00859/K01012/K01207/K01495/K01591/K01649/K01693/K01733/K01755/K01776/K01788/K01814/K01866/K01881/K01885/K01892/K01921/K02257/K02357/K02495/K02519/K02637/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03100/K03431/K03524/K03544/K03596/K03605/K03787/K03798/K04567/K04652/K04655/K06133/K06203/K08106/K09667/K11356/K11754/K13038",73
"GO:1901566","GO:1901566","organonitrogen compound biosynthetic process","56/271","230/1630",0.000748375235045344,0.0158919682265511,0.0143187583671214,"2607585338/2607585342/2607585344/2607585353/2607587425/2607587426/2607587719/K00003/K00162/K00284/K00286/K00602/K00611/K00764/K00859/K01012/K01495/K01591/K01649/K01693/K01733/K01755/K01776/K01814/K01881/K01885/K01892/K01921/K02257/K02357/K02495/K02519/K02637/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03431/K03596/K04567/K06133/K06203/K08106/K09667/K11754/K13038",56
"GO:0006996","GO:0006996","organelle organization","12/271","28/1630",0.000865413107830869,0.017356340662608,0.0156381666853648,"2607587034/2607587038/2607588300/K02469/K02470/K02520/K02835/K02887/K02890/K02992/K03595/K05592",12
"GO:0070925","GO:0070925","organelle assembly","7/271","12/1630",0.0012135229335027,0.0219040889497237,0.0197357150764386,"2607587034/2607587038/K02887/K02890/K02992/K03595/K05592",7
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","7/271","12/1630",0.0012135229335027,0.0219040889497237,0.0197357150764386,"2607587034/2607587038/K02887/K02890/K02992/K03595/K05592",7
"GO:0065003","GO:0065003","protein-containing complex assembly","8/271","16/1630",0.00199863450230942,0.0343574788254144,0.0309562937951685,"2607585251/2607587034/2607587038/K02587/K02887/K02992/K03595/K05592",8
"GO:0022607","GO:0022607","cellular component assembly","9/271","20/1630",0.00261778758136631,0.042955514403329,0.0387031752460378,"2607585251/2607587034/2607587038/2607588937/K02887/K02890/K02992/K03595/K05592",9
